test_id,duration_sec,initial_deposit,net_profit,profit_factor,balance_dd_max,equity_dd_max,total_trades,total_deals,profit_trades,loss_trades,gross_profit,gross_loss,recovery_factor,sharpe,largest_profit,largest_loss
test_id,duration_sec,initial_deposit,net_profit,profit_factor,balance_dd_max,equity_dd_max,total_trades,total_deals,profit_trades,loss_trades,gross_profit,gross_loss,recovery_factor,sharpe,largest_profit,largest_loss
01_baseline,30.3,50 000.00,-10 193.06,0.87,63 359.03 (92.66%),17 302.61 (30.34%),12390,24780,11772 (95.01%),618 (4.99%),65 744.08,-75 937.14,-0.59,-3.50,34 781.60,-46 691.71
02_tight,188.7,50 000.00,59 327.74,1.27,111 467.20 (90.58%),47 743.22 (44.56%),71389,142778,68143 (95.45%),3246 (4.55%),282 608.85,-223 281.11,1.24,3.37,97 738.41,-65 804.80
03_wide,34.4,50 000.00,7 170.78,1.44,8 251.90 (13.75%),3 803.43 (6.73%),2442,4884,2257 (92.42%),185 (7.58%),23 448.78,-16 278.00,1.89,4.78,3 337.77,-3 552.16
04_many,28.5,50 000.00,-14 386.14,0.54,25 529.66 (41.75%),24 785.81 (41.04%),8398,16796,7801 (92.89%),597 (7.11%),17 103.76,-31 489.90,-0.58,-5.00,1 452.73,-22 160.43
05_few_wide,38.3,50 000.00,25 031.49,1.50,26 454.46 (36.31%),20 822.05 (27.36%),11094,22188,10371 (93.48%),723 (6.52%),74 674.10,-49 642.61,1.20,3.27,21 777.91,-10 892.76
06_low_reset,64.5,50 000.00,32 373.06,1.27,59 900.39 (66.89%),25 550.74 (27.81%),29611,59222,27940 (94.36%),1671 (5.64%),153 108.73,-120 735.67,1.27,3.52,52 726.32,-39 296.64
07_high_reset,60.5,50 000.00,42 553.45,1.48,47 780.55 (52.18%),34 649.48 (38.11%),29277,58554,27911 (95.33%),1366 (4.67%),131 883.43,-89 329.98,1.23,3.23,36 161.32,-20 608.14
08_bigTP_smSpac,20.5,50 000.00,-12 094.70,0.60,24 478.42 (39.24%),23 968.02 (38.88%),5066,10132,4500 (88.83%),566 (11.17%),18 174.69,-30 269.39,-0.50,-5.00,1 228.53,-20 278.80
09_smTP_bigSpac,36.5,50 000.00,22 226.57,1.51,22 531.50 (33.16%),21 470.41 (28.74%),16546,33092,15827 (95.65%),719 (4.35%),65 996.93,-43 770.36,1.04,2.89,22 673.64,-10 423.60
10_mid,36.5,50 000.00,20 302.68,1.41,26 078.79 (35.60%),17 321.71 (24.85%),11065,22130,10394 (93.94%),671 (6.06%),69 395.70,-49 093.02,1.17,3.11,18 213.30,-12 189.54
11_lvl10,18.4,50 000.00,-10 285.51,0.47,16 782.20 (29.70%),16 148.67 (29.06%),3503,7006,3188 (91.01%),315 (8.99%),9 295.79,-19 581.30,-0.64,-5.00,607.75,-13 440.00
12_lvl20,20.4,50 000.00,-12 853.82,0.43,18 995.34 (33.83%),18 741.14 (33.53%),3555,7110,3196 (89.90%),359 (10.10%),9 810.13,-22 663.95,-0.69,-5.00,712.66,-16 104.00
