ts_ms,total_value,grid_alpha_net,grid_alpha_brut,mtm,recoloc_cost_cum,rebal_fees_cum,reloc_count,rebal_count
1747590960000,993.9313,0.0871,0.0871,-6.1558,0.0,0.0,0,0
1747605360000,984.4107,1.1973,1.3225,-16.9118,0.1252,0.0,4,0
1747619760000,987.897,4.0475,4.2335,-16.3364,0.186,0.0,7,0
1747634160000,980.5841,4.7647,5.0358,-24.4517,0.2711,0.0,10,0
1747648560000,983.3453,5.7987,6.0698,-22.7245,0.2711,0.0,10,0
1747662960000,985.3926,6.5174,6.8355,-21.4429,0.3182,0.0,11,0
1747677360000,988.9974,7.874,8.3127,-19.3153,0.4387,0.0,15,0
1747691760000,990.1061,8.5333,8.972,-18.8659,0.4387,0.0,15,0
1747706160000,993.0717,9.6113,10.05,-16.9783,0.4387,0.0,15,0
1747720560000,992.358,10.5712,11.0768,-18.7189,0.5056,0.0,17,0
1747734960000,990.7197,11.1083,11.6236,-20.9038,0.5153,0.0,18,0
1747749360000,987.2492,11.1729,11.7884,-24.5391,0.6155,0.0,20,0
1747763760000,992.8214,12.5594,13.1749,-20.3536,0.6155,0.0,20,0
1747778160000,994.2338,13.5405,14.2387,-20.0049,0.6982,0.0,22,0
1747792560000,995.6655,14.5143,15.2433,-19.5778,0.729,0.0,23,0
1747806960000,999.9339,15.5475,16.2766,-16.3426,0.729,0.0,23,0
1747821360000,994.1928,15.8186,16.6091,-22.4163,0.7904,0.0,25,0
1747835760000,997.7229,16.3943,17.1847,-19.4618,0.7904,0.0,25,0
1747850160000,988.3018,18.3793,19.4118,-31.11,1.0325,0.0,32,0
1747864560000,994.6246,19.9424,20.9902,-26.3655,1.0478,0.0,33,0
1747878960000,1000.5151,21.6988,22.8122,-22.2971,1.1135,0.0,35,0
1747893360000,1002.1577,22.5123,23.748,-21.5903,1.2357,0.0,39,0
1747907760000,1001.6646,23.2335,24.5002,-22.8356,1.2667,0.0,40,0
1747922160000,1000.9769,24.2166,25.5542,-24.5772,1.3375,0.0,41,0
1747936560000,1002.8352,24.8649,26.2024,-23.3672,1.3375,0.0,41,0
1747950960000,1001.1125,24.8649,26.2024,-25.09,1.3375,0.0,41,0
1747965360000,1004.2648,25.672,27.0304,-22.7656,1.3585,0.0,42,0
1747979760000,1005.2015,26.3414,27.6998,-22.4983,1.3585,0.0,42,0
1747994160000,1006.8142,27.0112,28.3909,-21.5766,1.3796,0.0,43,0
1748008560000,996.8541,28.9404,30.532,-33.6779,1.5916,0.0,49,0
1748022960000,998.3957,30.0983,31.7053,-33.3097,1.607,0.0,50,0
1748037360000,994.2286,30.2527,31.8597,-37.6311,1.607,0.0,50,0
1748051760000,992.2666,30.7763,32.4388,-40.1722,1.6625,0.0,52,0
1748066160000,994.714,31.1955,32.8581,-38.144,1.6625,0.0,52,0
1748080560000,995.2819,31.4388,33.1014,-37.8194,1.6625,0.0,52,0
1748094960000,994.6763,31.6637,33.3614,-38.6851,1.6977,0.0,53,0
1748109360000,996.3001,31.8308,33.5286,-37.2284,1.6977,0.0,53,0
1748123760000,995.5817,31.9852,33.6829,-38.1012,1.6977,0.0,53,0
1748138160000,990.6074,32.2301,33.9278,-43.3205,1.6977,0.0,53,0
1748152560000,993.3956,32.6321,34.3298,-40.9342,1.6977,0.0,53,0
