ts_ms,total_value,grid_alpha_net,grid_alpha_brut,mtm,recoloc_cost_cum,rebal_fees_cum,reloc_count,rebal_count
1747590960000,993.9313,-0.0053,-0.0053,-6.0634,0.0,0.0,0,0
1747594560000,989.33,0.1564,0.1564,-10.8264,0.0,0.0,0,0
1747598160000,985.4214,-2.2558,-2.2046,-12.3741,0.0513,0.0,2,0
1747601760000,982.4591,-7.6393,-7.5142,-10.0267,0.1252,0.0,4,0
1747605360000,984.4107,-7.2234,-7.0983,-8.491,0.1252,0.0,4,0
1747608960000,990.3102,-5.9056,-5.7804,-3.9094,0.1252,0.0,4,0
1747612560000,993.1411,-4.3301,-4.1539,-2.705,0.1762,0.0,6,0
1747616160000,988.9456,-3.3708,-3.1848,-7.8696,0.186,0.0,7,0
1747619760000,987.897,-3.205,-3.0191,-9.0839,0.186,0.0,7,0
1747623360000,985.286,-4.2402,-4.025,-10.6889,0.2151,0.0,8,0
1747626960000,982.4995,-4.2402,-4.025,-13.4755,0.2151,0.0,8,0
1747630560000,978.8291,-7.0446,-6.7735,-14.3974,0.2711,0.0,10,0
1747634160000,980.5841,-6.5583,-6.2872,-13.1287,0.2711,0.0,10,0
1747637760000,977.8414,-6.4815,-6.2104,-15.9482,0.2711,0.0,10,0
1747641360000,982.7693,-5.9237,-5.6527,-11.578,0.2711,0.0,10,0
1747644960000,983.0202,-5.6778,-5.4067,-11.5731,0.2711,0.0,10,0
1747648560000,983.3453,-5.5243,-5.2532,-11.4014,0.2711,0.0,10,0
1747652160000,983.7819,-5.4947,-5.1765,-11.0416,0.3182,0.0,11,0
1747655760000,984.3693,-5.1021,-4.784,-10.8467,0.3182,0.0,11,0
1747659360000,981.0126,-5.1021,-4.784,-14.2034,0.3182,0.0,11,0
1747662960000,985.3926,-4.9683,-4.6501,-9.9572,0.3182,0.0,11,0
1747666560000,986.8891,-5.3773,-5.0592,-8.0518,0.3182,0.0,11,0
1747670160000,987.3573,-5.7179,-5.377,-7.2657,0.3409,0.0,12,0
1747673760000,989.3294,-5.5617,-5.174,-5.4967,0.3877,0.0,13,0
1747677360000,988.9974,-4.3685,-3.9298,-7.0728,0.4387,0.0,15,0
1747680960000,986.8431,-4.2893,-3.8506,-9.3063,0.4387,0.0,15,0
1747684560000,990.0554,-3.9654,-3.5267,-6.4179,0.4387,0.0,15,0
1747688160000,989.9039,-3.6402,-3.2015,-6.8946,0.4387,0.0,15,0
1747691760000,990.1061,-3.6402,-3.2015,-6.6924,0.4387,0.0,15,0
1747695360000,989.0889,-3.6402,-3.2015,-7.7096,0.4387,0.0,15,0
1747698960000,990.2871,-3.3955,-2.9568,-6.7561,0.4387,0.0,15,0
1747702560000,990.3297,-2.5883,-2.1496,-7.5207,0.4387,0.0,15,0
1747706160000,993.0717,-2.1015,-1.6628,-5.2654,0.4387,0.0,15,0
1747709760000,991.8545,-1.6748,-1.1692,-6.9763,0.5056,0.0,17,0
1747713360000,991.282,-1.8151,-1.3095,-7.4085,0.5056,0.0,17,0
1747716960000,992.9667,-1.578,-1.0723,-5.961,0.5056,0.0,17,0
1747720560000,992.358,-1.4914,-0.9858,-6.6563,0.5056,0.0,17,0
1747724160000,991.0345,-1.4914,-0.9858,-7.9797,0.5056,0.0,17,0
1747727760000,990.4137,-2.0152,-1.5,-8.0863,0.5153,0.0,18,0
1747731360000,990.6939,-2.0184,-1.5031,-7.803,0.5153,0.0,18,0
1747734960000,990.7197,-1.8056,-1.2903,-7.99,0.5153,0.0,18,0
1747738560000,989.5762,-1.8056,-1.2903,-9.1334,0.5153,0.0,18,0
1747742160000,989.9335,-1.7265,-1.2113,-8.8553,0.5153,0.0,18,0
1747745760000,988.0722,-1.7975,-1.2113,-10.7166,0.5862,0.0,19,0
1747749360000,987.2492,-3.207,-2.5915,-10.1593,0.6155,0.0,20,0
1747752960000,989.3516,-2.1356,-1.5201,-9.1283,0.6155,0.0,20,0
1747756560000,990.837,-1.8923,-1.2768,-7.8863,0.6155,0.0,20,0
1747760160000,990.0595,-1.8923,-1.2768,-8.6637,0.6155,0.0,20,0
1747763760000,992.8214,-1.6252,-1.0097,-6.169,0.6155,0.0,20,0
1747767360000,989.7051,-1.6725,-1.0097,-9.2852,0.6629,0.0,21,0
1747770960000,994.5338,-1.1376,-0.4747,-4.9915,0.6629,0.0,21,0
1747774560000,994.0641,-0.8979,-0.1997,-5.7361,0.6982,0.0,22,0
1747778160000,994.2338,-0.8979,-0.1997,-5.5665,0.6982,0.0,22,0
1747781760000,995.2212,-0.5616,0.1366,-4.9154,0.6982,0.0,22,0
