ts_ms,total_value,grid_alpha_net,grid_alpha_brut,mtm,recoloc_cost_cum,rebal_fees_cum,reloc_count,rebal_count
1776038460000,993.1096,-0.0053,-0.0053,-6.8851,0.0,0.0,0,0
1776042060000,996.4501,0.6205,0.6205,-4.1704,0.0,0.0,0,0
1776045660000,996.686,0.7076,0.7076,-4.0216,0.0,0.0,0,0
1776049260000,995.6173,0.7076,0.7076,-5.0903,0.0,0.0,0,0
1776052860000,995.7853,0.7076,0.7076,-4.9223,0.0,0.0,0,0
1776056460000,995.5181,0.7076,0.7076,-5.1894,0.0,0.0,0,0
1776060060000,995.7998,1.2264,1.2264,-5.4266,0.0,0.0,0,0
1776063660000,996.4496,1.3888,1.3888,-4.9392,0.0,0.0,0,0
1776067260000,995.6254,1.3179,1.3888,-5.7633,0.0709,0.0,1,0
1776070860000,995.6889,1.3179,1.3888,-5.6999,0.0709,0.0,1,0
1776074460000,994.83,1.4055,1.4764,-6.6464,0.0709,0.0,1,0
1776078060000,994.9211,1.4055,1.4764,-6.5554,0.0709,0.0,1,0
1776081660000,994.4523,1.4055,1.4764,-7.0242,0.0709,0.0,1,0
1776085260000,996.68,1.4861,1.557,-4.877,0.0709,0.0,1,0
1776088860000,998.4287,2.8461,2.917,-4.4883,0.0709,0.0,1,0
1776092460000,998.6883,3.9686,4.0987,-5.4104,0.13,0.0,2,0
1776096060000,997.2071,3.9686,4.0987,-6.8916,0.13,0.0,2,0
1776099660000,999.8608,4.4761,4.6061,-4.7454,0.13,0.0,2,0
1776103260000,999.9172,4.9748,5.1048,-5.1876,0.13,0.0,2,0
1776106860000,1001.0441,4.9748,5.1048,-4.0607,0.13,0.0,2,0
1776110460000,1003.648,6.0251,6.2048,-2.5568,0.1797,0.0,4,0
1776114060000,1002.9243,6.0251,6.2048,-3.2805,0.1797,0.0,4,0
1776117660000,1004.0244,6.0251,6.2048,-2.1804,0.1797,0.0,4,0
1776121260000,1008.3475,10.8741,11.1746,-2.8271,0.3005,0.0,7,0
1776124860000,1008.8129,12.3521,12.6846,-3.8717,0.3326,0.0,8,0
1776128460000,1007.0679,12.3521,12.6846,-5.6168,0.3326,0.0,8,0
1776132060000,1008.4819,12.3521,12.6846,-4.2027,0.3326,0.0,8,0
1776135660000,1008.6629,12.4347,12.7673,-4.1044,0.3326,0.0,8,0
1776139260000,1008.5257,12.4347,12.7673,-4.2416,0.3326,0.0,8,0
1776142860000,1008.3014,12.4347,12.7673,-4.4659,0.3326,0.0,8,0
1776146460000,1007.7425,12.4347,12.7673,-5.0247,0.3326,0.0,8,0
1776150060000,1009.6477,12.4347,12.7673,-3.1195,0.3326,0.0,8,0
1776153660000,1009.3832,13.2309,13.6109,-4.2277,0.3801,0.0,9,0
1776157260000,1011.2004,13.3958,13.7758,-2.5754,0.3801,0.0,9,0
