ts_ms,total_value,grid_alpha_net,grid_alpha_brut,mtm,recoloc_cost_cum,rebal_fees_cum,reloc_count,rebal_count
1776038460000,993.1096,0.0871,0.0871,-6.9775,0.0,0.0,0,0
1776042060000,996.4501,0.7611,0.7611,-4.311,0.0,0.0,0,0
1776045660000,996.686,0.8481,0.8481,-4.1622,0.0,0.0,0,0
1776049260000,995.6173,0.8481,0.8481,-5.2308,0.0,0.0,0,0
1776052860000,995.7853,0.8481,0.8481,-5.0629,0.0,0.0,0,0
1776056460000,995.5181,0.8481,0.8481,-5.33,0.0,0.0,0,0
1776060060000,995.7998,1.0413,1.0413,-5.2415,0.0,0.0,0,0
1776063660000,996.4496,1.2036,1.2036,-4.754,0.0,0.0,0,0
1776067260000,995.6254,1.1327,1.2036,-5.5782,0.0709,0.0,1,0
1776070860000,995.6889,1.1327,1.2036,-5.5147,0.0709,0.0,1,0
1776074460000,994.83,1.2204,1.2913,-6.4613,0.0709,0.0,1,0
1776078060000,994.9211,1.2204,1.2913,-6.3702,0.0709,0.0,1,0
1776081660000,994.4523,1.2204,1.2913,-6.839,0.0709,0.0,1,0
1776085260000,996.68,1.301,1.3719,-4.6919,0.0709,0.0,1,0
1776088860000,998.4287,2.1685,2.2394,-3.8107,0.0709,0.0,1,0
1776092460000,998.6883,2.478,2.608,-3.9197,0.13,0.0,2,0
1776096060000,997.2071,2.478,2.608,-5.4009,0.13,0.0,2,0
1776099660000,999.8608,2.9854,3.1155,-3.2547,0.13,0.0,2,0
1776103260000,999.9172,3.2431,3.3731,-3.4559,0.13,0.0,2,0
1776106860000,1001.0441,3.2431,3.3731,-2.329,0.13,0.0,2,0
1776110460000,1003.648,3.8178,3.9975,-0.3495,0.1797,0.0,4,0
1776114060000,1002.9243,3.8178,3.9975,-1.0732,0.1797,0.0,4,0
1776117660000,1004.0244,3.8178,3.9975,0.0269,0.1797,0.0,4,0
1776121260000,1008.3475,5.047,5.3476,2.9999,0.3005,0.0,7,0
1776124860000,1008.8129,5.4688,5.8014,3.0115,0.3326,0.0,8,0
1776128460000,1007.0679,5.4688,5.8014,1.2665,0.3326,0.0,8,0
1776132060000,1008.4819,5.4688,5.8014,2.6805,0.3326,0.0,8,0
1776135660000,1008.6629,5.5514,5.884,2.7788,0.3326,0.0,8,0
1776139260000,1008.5257,5.5514,5.884,2.6416,0.3326,0.0,8,0
1776142860000,1008.3014,5.5514,5.884,2.4174,0.3326,0.0,8,0
1776146460000,1007.7425,5.5514,5.884,1.8585,0.3326,0.0,8,0
1776150060000,1009.6477,5.5514,5.884,3.7637,0.3326,0.0,8,0
