ts_ms,total_value,grid_alpha_net,grid_alpha_brut,mtm,recoloc_cost_cum,rebal_fees_cum,reloc_count,rebal_count
1778025660000,198.6632,0.0,0.0,-1.3368,0.0,0.0,0,0
1778029260000,198.751,0.0139,0.0139,-1.263,0.0,0.0,0,0
1778032860000,199.0393,0.1054,0.1054,-1.0661,0.0,0.0,0,0
1778036460000,199.1021,0.0971,0.0971,-0.9951,0.0,0.0,0,0
1778040060000,199.3043,0.0971,0.0971,-0.7928,0.0,0.0,0,0
1778043660000,198.9876,0.0721,0.0721,-1.0845,0.0,0.0,0,0
1778047260000,199.008,0.0556,0.0556,-1.0475,0.0,0.0,0,0
1778050860000,199.1049,0.0306,0.0306,-0.9257,0.0,0.0,0,0
1778054460000,198.9148,-0.0027,-0.0027,-1.0825,0.0,0.0,0,0
1778058060000,199.3007,0.1661,0.1661,-0.8655,0.0,0.0,0,0
1778061660000,199.3921,0.116,0.116,-0.7238,0.0,0.0,0,0
1778065260000,199.6186,0.3369,0.3369,-0.7183,0.0,0.0,0,0
1778068860000,199.6329,0.3429,0.3592,-0.7263,0.0163,0.0,1,0
1778072460000,198.9866,0.2765,0.2928,-1.3062,0.0163,0.0,1,0
1778076060000,198.2934,0.2188,0.2351,-1.9416,0.0163,0.0,1,0
1778079660000,198.1954,0.1859,0.2022,-2.0068,0.0163,0.0,1,0
1778083260000,198.3637,0.1777,0.194,-1.8302,0.0163,0.0,1,0
1778086860000,198.0906,0.1448,0.1611,-2.0705,0.0163,0.0,1,0
1778090460000,197.9769,0.1284,0.1447,-2.1678,0.0163,0.0,1,0
1778094060000,197.7833,0.1284,0.1447,-2.3614,0.0163,0.0,1,0
1778097660000,197.9993,0.112,0.1283,-2.129,0.0163,0.0,1,0
1778101260000,197.7933,0.0873,0.1036,-2.3104,0.0163,0.0,1,0
1778104860000,197.8773,0.0873,0.1036,-2.2263,0.0163,0.0,1,0
1778108460000,197.5481,0.0873,0.1036,-2.5555,0.0163,0.0,1,0
1778112060000,197.8043,0.0546,0.0709,-2.2666,0.0163,0.0,1,0
1778115660000,197.2014,0.0382,0.0545,-2.8531,0.0163,0.0,1,0
1778119260000,197.2718,0.0055,0.0218,-2.75,0.0163,0.0,1,0
1778122860000,197.1794,0.0055,0.0218,-2.8423,0.0163,0.0,1,0
1778126460000,196.824,-0.0102,0.0218,-3.1978,0.032,0.0,2,0
1778130060000,197.0299,-0.0102,0.0218,-2.9919,0.032,0.0,2,0
1778133660000,196.8908,-0.0539,-0.0219,-3.0873,0.032,0.0,2,0
1778137260000,197.2735,0.0285,0.0604,-2.787,0.032,0.0,2,0
1778140860000,197.3839,0.012,0.0439,-2.66,0.032,0.0,2,0
1778144460000,196.9507,0.0037,0.0357,-3.085,0.032,0.0,2,0
1778148060000,196.6441,-0.0291,0.0029,-3.3588,0.032,0.0,2,0
