ts_ms,total_value,grid_alpha_net,grid_alpha_brut,mtm,recoloc_cost_cum,rebal_fees_cum,reloc_count,rebal_count
1778025660000,496.3268,0.0,0.0,-3.6732,0.0,0.0,0,0
1778029260000,496.6921,0.0438,0.0438,-3.3517,0.0,0.0,0,0
1778032860000,497.3663,0.2392,0.2392,-2.873,0.0,0.0,0,0
1778036460000,497.4276,0.2392,0.2392,-2.8117,0.0,0.0,0,0
1778040060000,497.8802,0.3268,0.3268,-2.4466,0.0,0.0,0,0
1778043660000,497.2445,0.3268,0.3268,-3.0823,0.0,0.0,0,0
1778047260000,497.379,0.3268,0.3268,-2.9478,0.0,0.0,0,0
1778050860000,497.7191,0.4143,0.4143,-2.6952,0.0,0.0,0,0
1778054460000,497.6381,0.4143,0.4143,-2.7762,0.0,0.0,0,0
1778058060000,498.7201,0.8175,0.8175,-2.0974,0.0,0.0,0,0
1778061660000,499.2878,1.38,1.38,-2.0922,0.0,0.0,0,0
1778065260000,499.5435,1.7579,1.7579,-2.2144,0.0,0.0,0,0
1778068860000,499.5129,1.9197,1.9667,-2.4538,0.047,0.0,1,0
1778072460000,498.582,1.9197,1.9667,-3.3847,0.047,0.0,1,0
1778076060000,496.8527,1.9197,1.9667,-5.114,0.047,0.0,1,0
1778079660000,496.7087,2.0882,2.1352,-5.4265,0.047,0.0,1,0
1778083260000,497.052,2.0882,2.1352,-5.0833,0.047,0.0,1,0
1778086860000,496.6957,2.0882,2.1352,-5.4396,0.047,0.0,1,0
1778090460000,496.2624,2.0882,2.1352,-5.8729,0.047,0.0,1,0
1778094060000,495.8024,2.0882,2.1352,-6.3328,0.047,0.0,1,0
1778097660000,496.5253,2.0882,2.1352,-5.6099,0.047,0.0,1,0
1778101260000,496.2855,2.2569,2.3039,-6.0185,0.047,0.0,1,0
1778104860000,496.4994,2.2569,2.3039,-5.8045,0.047,0.0,1,0
1778108460000,495.6285,2.2569,2.3039,-6.6755,0.047,0.0,1,0
1778112060000,496.4847,2.2569,2.3039,-5.8192,0.047,0.0,1,0
1778115660000,494.4861,2.2569,2.3039,-7.8179,0.047,0.0,1,0
1778119260000,494.5796,2.345,2.392,-7.8124,0.047,0.0,1,0
1778122860000,494.1286,2.345,2.392,-8.2634,0.047,0.0,1,0
1778126460000,493.6328,1.3776,1.4588,-7.826,0.0812,0.0,2,0
1778130060000,494.3013,1.3776,1.4588,-7.1575,0.0812,0.0,2,0
1778133660000,494.386,1.1127,1.1939,-6.8079,0.0812,0.0,2,0
1778137260000,495.29,0.9578,1.039,-5.749,0.0812,0.0,2,0
1778140860000,495.8384,1.0386,1.1198,-5.2814,0.0812,0.0,2,0
1778144460000,494.8799,1.0386,1.1198,-6.2399,0.0812,0.0,2,0
1778148060000,494.4825,1.0386,1.1198,-6.6373,0.0812,0.0,2,0
1778151660000,494.0684,1.0386,1.1198,-7.0514,0.0812,0.0,2,0
1778155260000,494.3344,1.0386,1.1198,-6.7854,0.0812,0.0,2,0
1778158860000,494.7006,1.1252,1.2064,-6.5058,0.0812,0.0,2,0
1778162460000,493.0492,1.1252,1.2064,-8.1572,0.0812,0.0,2,0
1778166060000,491.2245,-0.636,-0.5242,-8.2512,0.1118,0.0,3,0
1778169660000,490.516,-0.636,-0.5242,-8.9598,0.1118,0.0,3,0
1778173260000,490.3565,-0.636,-0.5242,-9.1193,0.1118,0.0,3,0
1778176860000,491.5787,-0.4704,-0.3586,-8.0628,0.1118,0.0,3,0
1778180460000,491.4409,-0.4704,-0.3586,-8.2005,0.1118,0.0,3,0
1778184060000,491.6517,-0.4704,-0.3586,-7.9897,0.1118,0.0,3,0
1778187660000,490.7542,-0.3836,-0.2718,-8.9741,0.1118,0.0,3,0
1778191260000,490.2885,-0.3836,-0.2718,-9.4397,0.1118,0.0,3,0
1778194860000,490.6447,-0.3836,-0.2718,-9.0835,0.1118,0.0,3,0
1778198460000,491.1286,-0.3836,-0.2718,-8.5996,0.1118,0.0,3,0
1778202060000,490.6763,-0.3836,-0.2718,-9.0519,0.1118,0.0,3,0
1778205660000,489.4921,-0.3836,-0.2718,-10.2361,0.1118,0.0,3,0
1778209260000,488.7541,-0.3836,-0.2718,-10.9742,0.1118,0.0,3,0
1778212860000,489.7324,-0.3836,-0.2718,-9.9959,0.1118,0.0,3,0
1778216460000,489.8145,-0.3836,-0.2718,-9.9138,0.1118,0.0,3,0
1778220060000,488.9793,-0.3836,-0.2718,-10.7489,0.1118,0.0,3,0
1778223660000,488.9886,-0.3836,-0.2718,-10.7397,0.1118,0.0,3,0
1778227260000,489.914,-0.3836,-0.2718,-9.8142,0.1118,0.0,3,0
1778230860000,490.4206,-0.2178,-0.106,-9.4734,0.1118,0.0,3,0
1778234460000,490.7832,-0.2178,-0.106,-9.1107,0.1118,0.0,3,0
1778238060000,491.8412,-0.131,-0.0192,-8.1396,0.1118,0.0,3,0
1778241660000,492.0294,-0.131,-0.0192,-7.9514,0.1118,0.0,3,0
1778245260000,491.2624,-0.0523,0.0595,-8.7971,0.1118,0.0,3,0
1778248860000,490.2133,-0.0523,0.0595,-9.8462,0.1118,0.0,3,0
1778252460000,491.9148,0.2789,0.3907,-8.4759,0.1118,0.0,3,0
1778256060000,491.9648,0.2789,0.3907,-8.426,0.1118,0.0,3,0
1778259660000,491.3325,0.2789,0.3907,-9.0582,0.1118,0.0,3,0
1778263260000,492.95,0.1225,0.2343,-7.2843,0.1118,0.0,3,0
1778266860000,492.7365,0.288,0.3998,-7.6633,0.1118,0.0,3,0
1778270460000,493.0812,0.288,0.3998,-7.3186,0.1118,0.0,3,0
1778274060000,492.7325,0.288,0.3998,-7.6672,0.1118,0.0,3,0
1778277660000,493.5153,0.288,0.3998,-6.8844,0.1118,0.0,3,0
1778281260000,493.1355,0.288,0.3998,-7.2643,0.1118,0.0,3,0
1778284860000,492.8714,0.288,0.3998,-7.5284,0.1118,0.0,3,0
1778288460000,493.0283,0.288,0.3998,-7.3714,0.1118,0.0,3,0
1778292060000,493.3868,0.288,0.3998,-7.0129,0.1118,0.0,3,0
1778295660000,493.5229,0.288,0.3998,-6.8769,0.1118,0.0,3,0
1778299260000,493.5826,0.288,0.3998,-6.8172,0.1118,0.0,3,0
1778302860000,493.3944,0.288,0.3998,-7.0053,0.1118,0.0,3,0
1778306460000,493.5292,0.288,0.3998,-6.8706,0.1118,0.0,3,0
1778310060000,493.2302,0.288,0.3998,-7.1696,0.1118,0.0,3,0
1778313660000,493.2421,0.288,0.3998,-7.1577,0.1118,0.0,3,0
1778317260000,493.5928,0.288,0.3998,-6.807,0.1118,0.0,3,0
1778320860000,493.1466,0.288,0.3998,-7.2532,0.1118,0.0,3,0
1778324460000,493.1739,0.288,0.3998,-7.2258,0.1118,0.0,3,0
1778328060000,493.4198,0.288,0.3998,-6.98,0.1118,0.0,3,0
1778331660000,493.5645,0.288,0.3998,-6.8353,0.1118,0.0,3,0
1778335260000,493.4611,0.288,0.3998,-6.9387,0.1118,0.0,3,0
1778338860000,493.2031,0.288,0.3998,-7.1966,0.1118,0.0,3,0
1778342460000,493.8258,0.3666,0.4784,-6.6526,0.1118,0.0,3,0
1778346060000,494.2386,0.4533,0.5651,-6.3265,0.1118,0.0,3,0
1778349660000,494.9407,0.3123,0.4241,-5.4834,0.1118,0.0,3,0
1778353260000,494.998,0.3989,0.5107,-5.5127,0.1118,0.0,3,0
1778356860000,495.0411,0.3989,0.5107,-5.4696,0.1118,0.0,3,0
1778360460000,494.8383,0.3989,0.5107,-5.6724,0.1118,0.0,3,0
1778364060000,494.8112,0.3989,0.5107,-5.6995,0.1118,0.0,3,0
1778367660000,494.8755,0.3989,0.5107,-5.6352,0.1118,0.0,3,0
1778371260000,494.6154,0.3989,0.5107,-5.8953,0.1118,0.0,3,0
1778374860000,494.3497,0.3989,0.5107,-6.161,0.1118,0.0,3,0
1778378460000,494.3591,0.3989,0.5107,-6.1516,0.1118,0.0,3,0
1778382060000,494.7238,0.3989,0.5107,-5.7869,0.1118,0.0,3,0
1778385660000,494.7142,0.3989,0.5107,-5.7965,0.1118,0.0,3,0
1778389260000,494.6581,0.3989,0.5107,-5.8526,0.1118,0.0,3,0
1778392860000,494.6728,0.3989,0.5107,-5.8379,0.1118,0.0,3,0
1778396460000,494.8241,0.3989,0.5107,-5.6866,0.1118,0.0,3,0
1778400060000,494.6596,0.3989,0.5107,-5.8511,0.1118,0.0,3,0
1778403660000,495.0076,0.3989,0.5107,-5.503,0.1118,0.0,3,0
1778407260000,494.8669,0.3989,0.5107,-5.6438,0.1118,0.0,3,0
1778410860000,494.976,0.3989,0.5107,-5.5347,0.1118,0.0,3,0
1778414460000,494.7532,0.3989,0.5107,-5.7575,0.1118,0.0,3,0
