ts_ms,total_value,grid_alpha_net,grid_alpha_brut,mtm,recoloc_cost_cum,rebal_fees_cum,reloc_count,rebal_count
1778025660000,198.6444,0.0,0.0,-1.3556,0.0,0.0,0,0
1778029260000,198.7828,0.0307,0.0307,-1.248,0.0,0.0,0,0
1778032860000,199.0934,0.1396,0.1396,-1.0462,0.0,0.0,0,0
1778036460000,199.1736,0.1396,0.1396,-0.966,0.0,0.0,0,0
1778040060000,199.3402,0.2094,0.2094,-0.8693,0.0,0.0,0,0
1778043660000,199.1324,0.2094,0.2094,-1.077,0.0,0.0,0,0
1778047260000,199.224,0.2094,0.2094,-0.9854,0.0,0.0,0,0
1778050860000,199.3568,0.2792,0.2792,-0.9224,0.0,0.0,0,0
1778054460000,199.2734,0.2792,0.2792,-1.0058,0.0,0.0,0,0
1778058060000,199.6083,0.4662,0.4662,-0.8579,0.0,0.0,0,0
1778061660000,199.7248,0.4662,0.4662,-0.7414,0.0,0.0,0,0
1778065260000,199.9007,0.7314,0.7314,-0.8307,0.0,0.0,0,0
1778068860000,199.8516,0.6984,0.7314,-0.8798,0.033,0.0,1,0
1778072460000,199.3796,0.6984,0.7314,-1.3518,0.033,0.0,1,0
1778076060000,198.7531,0.6984,0.7314,-1.9783,0.033,0.0,1,0
1778079660000,198.7589,0.7682,0.8011,-2.0423,0.033,0.0,1,0
1778083260000,199.0052,0.7682,0.8011,-1.7959,0.033,0.0,1,0
1778086860000,198.8819,0.9077,0.9406,-2.0588,0.033,0.0,1,0
1778090460000,198.7957,0.9077,0.9406,-2.145,0.033,0.0,1,0
1778094060000,198.5725,0.9077,0.9406,-2.3682,0.033,0.0,1,0
1778097660000,198.8594,0.9077,0.9406,-2.0812,0.033,0.0,1,0
1778101260000,198.6785,0.9077,0.9406,-2.2622,0.033,0.0,1,0
1778104860000,198.7755,0.9077,0.9406,-2.1652,0.033,0.0,1,0
1778108460000,198.4018,0.9077,0.9406,-2.5388,0.033,0.0,1,0
1778112060000,198.7915,0.9077,0.9406,-2.1492,0.033,0.0,1,0
1778115660000,198.2037,0.9774,1.0104,-2.8067,0.033,0.0,1,0
