ts_ms,total_value,grid_alpha_net,grid_alpha_brut,mtm,recoloc_cost_cum,rebal_fees_cum,reloc_count,rebal_count
1778457660000,496.3699,0.0,0.0,-3.6301,0.0,0.0,0,0
1778459460000,495.1108,0.0,0.0,-4.8892,0.0,0.0,0,0
1778461260000,493.445,0.0,0.0,-6.555,0.0,0.0,0,0
1778463060000,494.5698,0.0807,0.0807,-5.5109,0.0,0.0,0,0
1778464860000,494.2828,0.0807,0.0807,-5.7979,0.0,0.0,0,0
1778466660000,493.0826,0.0807,0.0807,-6.9981,0.0,0.0,0,0
1778468460000,492.7323,0.0807,0.0807,-7.3484,0.0,0.0,0,0
1778470260000,490.3058,0.0807,0.0807,-9.7749,0.0,0.0,0,0
1778472060000,490.6101,0.0807,0.0807,-9.4706,0.0,0.0,0,0
1778473860000,491.1567,0.0807,0.0807,-8.924,0.0,0.0,0,0
1778475660000,491.5296,0.1616,0.1616,-8.632,0.0,0.0,0,0
1778477460000,492.0739,0.1616,0.1616,-8.0877,0.0,0.0,0,0
1778479260000,491.4338,0.1616,0.1616,-8.7278,0.0,0.0,0,0
1778481060000,492.1558,0.1616,0.1616,-8.0058,0.0,0.0,0,0
1778482860000,491.1931,0.1616,0.1616,-8.9684,0.0,0.0,0,0
1778484660000,490.974,0.1616,0.1616,-9.1876,0.0,0.0,0,0
1778486460000,491.0383,0.1616,0.1616,-9.1233,0.0,0.0,0,0
1778488260000,490.7702,0.1616,0.1616,-9.3914,0.0,0.0,0,0
1778490060000,491.1282,0.1616,0.1616,-9.0334,0.0,0.0,0,0
1778491860000,491.7583,0.1616,0.1616,-8.4033,0.0,0.0,0,0
1778493660000,492.0155,0.1616,0.1616,-8.1461,0.0,0.0,0,0
1778495460000,492.6819,0.1616,0.1616,-7.4797,0.0,0.0,0,0
1778497260000,491.6505,0.1616,0.1616,-8.5111,0.0,0.0,0,0
1778499060000,492.4179,0.1616,0.1616,-7.7437,0.0,0.0,0,0
1778500860000,492.6533,0.2496,0.2496,-7.5963,0.0,0.0,0,0
1778502660000,493.0138,0.2496,0.2496,-7.2358,0.0,0.0,0,0
1778504460000,492.1089,0.2496,0.2496,-8.1407,0.0,0.0,0,0
1778506260000,491.5161,0.2496,0.2496,-8.7334,0.0,0.0,0,0
1778508060000,492.0102,0.3376,0.3376,-8.3274,0.0,0.0,0,0
1778509860000,489.3638,0.3376,0.3376,-10.9738,0.0,0.0,0,0
1778511660000,490.4943,0.4257,0.4257,-9.9314,0.0,0.0,0,0
1778513460000,493.4935,0.6756,0.6756,-7.1821,0.0,0.0,0,0
1778515260000,493.2947,0.6756,0.6756,-7.3809,0.0,0.0,0,0
1778517060000,494.7922,0.7635,0.7635,-5.9713,0.0,0.0,0,0
1778518860000,493.2829,0.7635,0.7635,-7.4806,0.0,0.0,0,0
1778520660000,493.6335,0.7635,0.7635,-7.1299,0.0,0.0,0,0
1778522460000,494.9671,0.8512,0.8512,-5.8841,0.0,0.0,0,0
1778524260000,495.5836,0.8512,0.8512,-5.2676,0.0,0.0,0,0
1778526060000,494.7169,0.8512,0.8512,-6.1344,0.0,0.0,0,0
1778527860000,495.0426,0.8512,0.8512,-5.8086,0.0,0.0,0,0
1778529660000,495.4609,0.8512,0.8512,-5.3903,0.0,0.0,0,0
1778531460000,494.8215,0.8512,0.8512,-6.0297,0.0,0.0,0,0
1778533260000,494.878,0.8512,0.8512,-5.9732,0.0,0.0,0,0
1778535060000,494.3649,0.8512,0.8512,-6.4863,0.0,0.0,0,0
1778536860000,495.3646,0.8512,0.8512,-5.4866,0.0,0.0,0,0
1778538660000,494.779,0.8512,0.8512,-6.0722,0.0,0.0,0,0
1778540460000,494.8092,0.8512,0.8512,-6.042,0.0,0.0,0,0
1778542260000,494.5319,0.8512,0.8512,-6.3194,0.0,0.0,0,0
1778544060000,494.6192,0.8512,0.8512,-6.232,0.0,0.0,0,0
1778545860000,494.1518,0.8512,0.8512,-6.6994,0.0,0.0,0,0
1778547660000,494.1836,0.8512,0.8512,-6.6676,0.0,0.0,0,0
1778549460000,492.8358,0.8512,0.8512,-8.0154,0.0,0.0,0,0
1778551260000,491.9292,-0.3982,-0.3674,-7.7034,0.0308,0.0,1,0
1778553060000,491.7726,-0.3982,-0.3674,-7.86,0.0308,0.0,1,0
1778554860000,492.177,-0.3982,-0.3674,-7.4556,0.0308,0.0,1,0
1778556660000,491.7007,-0.3982,-0.3674,-7.9319,0.0308,0.0,1,0
1778558460000,491.2399,-0.3982,-0.3674,-8.3927,0.0308,0.0,1,0
1778560260000,491.7948,-0.3982,-0.3674,-7.8378,0.0308,0.0,1,0
1778562060000,491.8917,-0.3982,-0.3674,-7.7408,0.0308,0.0,1,0
1778563860000,492.1009,-0.3982,-0.3674,-7.5317,0.0308,0.0,1,0
1778565660000,491.8678,-0.3982,-0.3674,-7.7648,0.0308,0.0,1,0
1778567460000,491.5723,-0.3982,-0.3674,-8.0603,0.0308,0.0,1,0
1778569260000,490.9028,-0.3982,-0.3674,-8.7298,0.0308,0.0,1,0
1778571060000,490.8897,-0.3982,-0.3674,-8.7429,0.0308,0.0,1,0
1778572860000,490.1145,-0.3982,-0.3674,-9.518,0.0308,0.0,1,0
1778574660000,489.8622,-0.3982,-0.3674,-9.7704,0.0308,0.0,1,0
1778576460000,489.6006,-0.3982,-0.3674,-10.032,0.0308,0.0,1,0
1778578260000,489.8647,-0.3982,-0.3674,-9.7679,0.0308,0.0,1,0
1778580060000,489.9594,-0.3982,-0.3674,-9.6732,0.0308,0.0,1,0
1778581860000,489.32,-0.3982,-0.3674,-10.3126,0.0308,0.0,1,0
1778583660000,489.1271,-0.3982,-0.3674,-10.5055,0.0308,0.0,1,0
1778585460000,488.8603,-2.0597,-1.9825,-9.1572,0.0772,0.0,2,0
1778587260000,489.1128,-2.4104,-2.3332,-8.554,0.0772,0.0,2,0
1778589060000,488.6233,-2.4104,-2.3332,-9.0435,0.0772,0.0,2,0
1778590860000,489.4873,-2.4104,-2.3332,-8.1795,0.0772,0.0,2,0
1778592660000,488.8954,-2.4104,-2.3332,-8.7714,0.0772,0.0,2,0
1778594460000,488.2787,-2.4104,-2.3332,-9.3881,0.0772,0.0,2,0
1778596260000,487.8624,-2.4104,-2.3332,-9.8044,0.0772,0.0,2,0
1778598060000,487.6317,-2.4104,-2.3332,-10.0351,0.0772,0.0,2,0
1778599860000,487.17,-2.4104,-2.3332,-10.4967,0.0772,0.0,2,0
1778601660000,487.303,-2.4104,-2.3332,-10.3638,0.0772,0.0,2,0
1778603460000,487.4496,-2.4104,-2.3332,-10.2172,0.0772,0.0,2,0
1778605260000,486.8675,-2.4104,-2.3332,-10.7992,0.0772,0.0,2,0
1778607060000,488.1156,-2.2455,-2.1684,-9.716,0.0772,0.0,2,0
1778608860000,488.5581,-2.2455,-2.1684,-9.2736,0.0772,0.0,2,0
1778610660000,488.6149,-2.2455,-2.1684,-9.2167,0.0772,0.0,2,0
